,Name,Case Number,City,States & Territories,Date Filed,Region Assigned,Status,Date Closed,Reason Closed,No. of Eligible Voters,No. of Employees,Certified Representative,Unit Sought,Fiscal Year
6900,"Live Axe, Inc.",02-RC-336932,Manhattan,NY,2024-03-01,"Region 02, New York, New York",Open,,,33.0,22.0,,"Included: All full time and regular part time employees.

Excluded: owners, supervisors, guards, confidential employees and defined in the Act.

",2024
6901,Cesar Chavez Foundation,16-RC-336845,Dallas,TX,2024-02-29,"Region 16, Fort Worth, Texas",Closed,04/15/2024,Certification of Results,2.0,5.0,,"Included: 2 maintenance workers and 1 community coordinator.

Excluded: 2 property managers.",2024
6902,Crescent Paper Tube Company,10-RC-336804,Lewisport,KY,2024-02-29,"Region 10, Atlanta, Georgia",Closed,04/05/2024,Certific. of Representative,20.0,20.0,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO-CLC","Included: Production and maintenance.

Excluded: All temporary guards and supervisors as defined by the Act.",2024
6903,"Equipmentshare.com, Inc.",14-RC-336813,Cape Girardeau,MO,2024-02-29,"Region 14, Saint Louis, Missouri",Closed,04/04/2024,Certification of Results,11.0,12.0,"International Union of Operating Engineers, Local 513","Included: All hourly full-time and regular part-time drivers, shop mechanics, field mechanics, mechanic apprentices, and utility men employed by the employer at 281 Rambler Drive, Cape Girardeau, MO 63701 
Excluded: All other employees, including but not limited to professional employees, office clerical employees, guards, and supervisors as defined in the Act",2024
6904,MultiCare Auburn Medical Center,19-RC-336846,Auburn,WA,2024-02-29,"Region 19, Seattle, Washington",Closed,03/08/2024,Withdrawal Non-adjusted,,12.0,,"Included: 

The Petitioner seeks to add through an Armour-Globe election all full time, regular part time and per diem Registered Nurse Care Managers employed at 202 N Division St, Auburn, WA 98001 to the existing Registered Nurse bargaining unit. 

Excluded: 

All managers, supervisors, guards, and confidential employees as defined by the Act.",2024
6905,Cesar Chavez Foundation,16-RC-336916,Austin,TX,2024-02-29,"Region 16, Fort Worth, Texas",Closed,03/11/2024,Withdrawal Non-adjusted,,2.0,,"Included: 2 property managers.

Excluded: 2 maintenance workers 1 salaried compliance officer.",2024
6906,Northern Plains Resource Council,27-RC-336865,Billings,MT,2024-02-29,"Region 27, Denver, Colorado",Closed,03/08/2024,Withdrawal Non-adjusted,,9.0,,"Included:  Community Organizer, Grassroots Fundraiser, Admin/Program Support, Office Staff

Excluded:  Directors, Managers, Strategists",2024
6907,"RED RIVER SCIENCE & TECHNOLOGY, LLC",09-RC-336876,Fort Knox,KY,2024-02-29,"Region 09, Cincinnati, Ohio",Closed,03/07/2024,Withdrawal Non-adjusted,,60.0,,"Included:  All full-time and regular part-time staff, including dispatchers, clerks, fuel distribution system and heavy equipment operators, maintenance and mechanic schedulers, material coordinators,
supply technicians, warehouse specialists, wood workers, and bus drivers.

Excluded:  All casual employees, guards, professional employees, and supervisors as defined by the Act.",2024
6908,Asplundh Tree Expert Co.,25-RC-336872,Indianapolis,IN,2024-02-29,"Region 25, Indianapolis, Indiana",Closed,04/26/2024,Certific. of Representative,13.0,12.0,"Local 1393, International Brotherhood of Electrical Workers","Included: All trimmers, trimmer trainees, ground persons, sprayers and crew forepersons

Excluded: All general forepersons, planners, office clerical employees, professional employees, guards and supervisors",2024
6909,"AMERICAN MEDICAL RESPONSE OF MASSACHUSETTS, INC.",01-RC-336710,Springfield,MA,2024-02-28,"Region 01, Boston, Massachusetts",Closed,04/03/2024,Certific. of Representative,204.0,225.0,INTERNATIONAL BROTHERHOOD OF TEAMSTERS  LOCAL 404,"All full time and regular part time emergency medical technicians, paramedics and chair drivers employed by the Employer at its Springfield and Greenfield Massachusetts facilities but excluding, managerial employees, confidential employees, and guards, professional employees, and supervisors as defined in the Act.",2024
6910,Center for Policing Equity,31-RC-336737,Los Angeles,CA,2024-02-28,"Region 31, Los Angeles, California",Closed,03/12/2024,Withdrawal Non-adjusted,,74.0,,"Included: All full-time and regular part-time employees employed by the Employer (wall to wall).
The following job titles are included for the purposes of voting:
1. Accounting Clerk
2. Administrative Assistant
3. Administrator, IT
4. Analyst
5. Assistant Director, Corporate Partnerships
6. Assistant Director, Development Operations
7. Associate
8. Associate Program Manager
9. Associate Project Manager
10. Associate, Research
11. Coordinator
12. Data Acquisition Specialist
13. Data Science Developer
14. Director of Engineering
15. Director, Special Projects
16. Donor Data Specialist
17. Executive Assistant
18. Interim Director, Development
19. Major Gifts Officer
20. Manager, Administration and Operations
21. Manager, Donor Data & Analytics
22. Manager, Engagement and Impact
23. Manager, Policy
24. Manager, Research
25. Mothodologist
26. Postdoctoral Research Fellow
27. Principal
28. Program Assistant
29. Program Manager
30. Project Manager
31. Senior Analyst
32. Senior Associate
33. Senior Community Organizer
34. Senior Coordinator
35. Senior Product Strategist
36. Senior Project Manager
37. Senior Strategist
38. Senior UI/Data Visualization Designer
39. Strategist

Excluded: All other employees including, independent contractors, managerial, temporary,
confidential, guards, and supervisors as defined in the Act.",2024
6911,Anthony's Foods,14-RC-336741,Meeker,OK,2024-02-28,"Region 14, Saint Louis, Missouri",Closed,04/25/2024,Certific. of Representative,10.0,9.0,United Food and Commercial Workers Local 1000,"Included: All Fulltime Part time employees employed by Anthonys Food; Excluded: professional employees, office and clerical employees, confidential, guards, and supervisors as defined by the act
",2024
6912,"Xpress Natural Gas, LLC",01-RC-336753,Baileyville,ME,2024-02-28,"Region 01, Boston, Massachusetts",Closed,04/10/2024,Certific. of Representative,13.0,12.0,International Brotherhood of Teamsters Local Union No. 340,"Included: All full-time truck drivers and station operators.
Excluded:
All other positions including management.
",2024
6913,"Aetna Hose, Hook and Ladder Company",04-RC-336953,Wilmington Manor,DE,2024-02-28,"Region 04, Philadelphia, Pennsylvania",Closed,03/26/2024,Certific. of Representative,19.0,19.0,International Association of Firefighters Local 4417,Included: All Career Staff Firefighters and EMTS,2024
6914,"Wells Fargo Bank, N.A.",04-RC-336810,Egg Harbor City,NJ,2024-02-28,"Region 04, Philadelphia, Pennsylvania",Closed,04/05/2024,Certific. of Representative,5.0,6.0,Communications Workers of America,"Included: Teller (Full and Part-time), Personal Banker, Branch Operations Coordinator

Excluded: Branch Manager, Branch Service Manager, Financial Advisor
",2024
6915,GSW Arena LLC,20-RC-336756,San Francisco,CA,2024-02-28,"Region 20, San Francisco, California",Closed,04/17/2024,Certific. of Representative,42.0,39.0,"International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts","INCLUDED:
All full-time and regular part-time Control Room Operators, including Engineers, Directors, Technical Directors (TD), Video Technicians (V1), Assistant Video Technicians (V2), Graphics Operators, Graphic Coordinators, Font Coordinators, Camera Operators (jib, stationary, mobile, and remotely operated cameras), Capture/Playback Operators (Videotape Operators [VTR], Digital Recording Device Operators [DDR], Statisticians [Stats Technicians] and others in similar technical positions performing work in connection with the In-House coverage for live events at Chase Center (1 Warriors Way, San Francisco, CA 94158.)

EXCLUDED:
All other employees, office clerical employees, confidential employees, guards, professional employees, and supervisors as defined in the Act.",2024
6916,Albertson’s LLC,27-RC-336796,Boise,ID,2024-02-28,"Region 27, Denver, Colorado",Closed,05/13/2024,Certification of Results,13.0,12.0,,"Included: All employees presently covered in Boise and Nampa ID (Stores #101, #1602, #154,
#169, #193, #199) Retail Food CBA.
Excluded: All other employees, including supervisors, managers, and guards as defined by the
Act.",2024
6917,Optum Medical Care,02-RC-336638,Yorktown Heights,NY,2024-02-27,"Region 02, New York, New York",Closed,04/10/2024,Certific. of Representative,70.0,60.0,1199SEIU United Healthcare Workers East,"Included:
All full time and regular part time employees including per diem*, working for the Employer at its facility located at 355 Kear Street in Yorktown Heights, NY.
*Per diem employees are eligible to vote if they worked an average of four or more hours per week during the thirteen-week period immediately preceding the payroll eligibility date

Excluded:
All physicians, dentist, confidential employees, guards, managerial employees, and supervisors as defined in the act.",2024
6918,Lava Rubber,22-RC-336715,Eatontown,NJ,2024-02-27,"Region 22, Newark, New Jersey",Closed,03/07/2024,Withdrawal Non-adjusted,,3.0,,"INCLUDED:  All full-time warehouse associates.

EXCLUDED:  All other employees, sales, supervisors and guards as defined by the Act.",2024
6919,"Riverside Theatre, Inc.",12-RC-336785,Vero Beach,FL,2024-02-27,"Region 12, Tampa, Florida",Closed,04/17/2024,Certific. of Representative,8.0,33.0,"International Alliance of Theatrical Stage Employees, Moving Picture Technicans, Artists and Allied Crafts of The United States, its Territories and Canada, Local 500, AFL-CIO, CLC","Included: All part-time and full-time employees working under traditional stage crafts: Scenic Artists, 
general stagehands, Fly rail operators, Props, Audio, Carpentry, Video, brick loaders, camera operators, riggers, hair and make-up, wardrobe and costumes and all other stage operations and department
heads.

Excluded: Management",2024
6920,"Mercy Medical Center, Inc. d/b/a CHI Mercy Health Mercy Medical Center",19-RC-336735,Roseburg,OR,2024-02-27,"Region 19, Seattle, Washington",Closed,03/19/2024,Withdrawal Non-adjusted,,11.0,,"Included: All full time, part time, and temporary employees of the operations department including, Electrical supervisor/Master, maintenance engineer 1, maintenance engineer 2, maintenance engineer 3, Painter, electronics technician Excluded: All other employees and any employee prohibited by the Act.",2024
6921,"Westport Axle Co., LLC",04-RC-336740,Bethlehem,PA,2024-02-27,"Region 04, Philadelphia, Pennsylvania",Closed,03/28/2024,Certific. of Representative,142.0,185.0,"United Auto Workers Local 677 a/w The International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW)","Included:
All Production, material, quality, maintenance, janitorial and professional employees.

Excluded:
All employees holding a supervisor position as defined in Section 2(11) of the NLRA.",2024
6922,First Transit,18-RC-336823,Milwaukee,WI,2024-02-27,"Region 18, Minneapolis, Minnesota",Closed,03/28/2024,Certification of Results,4.0,4.0,Amalgamated Transit Union Local 998,Included:  All full-time and part-time Schedulers to be added to current bargaining unit.,2024
6923,"Plant Site Logistics, Inc.",25-RC-336704,Dubuque,IA,2024-02-27,"Region 25, Indianapolis, Indiana",Closed,03/27/2024,Certific. of Representative,9.0,9.0,"United Automobile, Aerospace and Agricultural Implement Workers of America, (UAW)","Included: All full-time and regular part-time employees employed by Employer at its facility located at 17876 Peru Rd., Dubuque, IA.

Excluded: All managers, office clerical employees, guards, and supervisors as defined in the Act.",2024
6924,"Garfield Beach CVS, LLC D/B/A CVS/Pharmacy",21-RC-336763,La Habra,CA,2024-02-27,"Region 21, Los Angeles, California",Closed,04/02/2024,Certific. of Representative,16.0,14.0,"United Food and Commercial Workers, Local 324, AFL-CIO","Included: Full-Time and part-time beauty advisors, store associates, clerks, clerk RX, RSA, pharmacy technicians, inventory specialist, pharmacy lead technicians, shift supervisor trainee/RX, shift supervisor, coordinator, 1st, 2nd, 3rd, 4th year of Rph school, pharmacy graduate, home health care clerks, health care concierge. 

Excluded: All managers (including store team leaders) assistant managers, operational managers, pharmacists, nurse practitioners, physician assistants, guards, and all employees not situated in CVS/pharmacy retail stores.",2024
